event_id,mag,depth,tsunami,maxmmi,economic_loss,population_mmi_5,economic_exposure_mmi_5,population_mmi_6,economic_exposure_mmi_6,population_mmi_7,economic_exposure_mmi_7,population_mmi_8,economic_exposure_mmi_8,population_mmi_9,economic_exposure_mmi_9,population_mmi_10,economic_exposure_mmi_10,has_economic_loss
us6000rtj4,5.6,47.8,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rtie,6.6,19.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rtgd,6.0,22.1,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rtg8,5.5,26.7,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rtdz,5.5,35.0,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rtdt,7.6,45.4,1,7,7655248,4160333,2016262144378.0093,953956,462324859621.15735,269997,130851239599.24107,0,0.0,0,0.0,0,0.0,1
us6000rt9w,5.8,10.0,1,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rt9a,5.0,2.1,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rt68,5.6,63.4,0,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rt4z,5.6,10.0,0,5,2,2464,165704652.97197217,689,46335432.58834773,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rt1y,5.2,7.3,0,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
ak2025xzwrbu,5.1,6.1,1,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rsy4,5.2,5.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us6000rsy1,7.0,5.0,1,5,2,1093,791549699.9019079,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
us6000rsti,5.5,10.0,0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
us7000rfr9,5.5,10.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
